"","Stkcd","Rptdt","Fenddt","Brokern","Feps","EDates","REps","name","dev","DateDiff"
"43",1,2010-03-12,2011-12-31,"国金证券股份有限公司",1.952,"rptDate=20111231",2.47,"陈建刚",0.209716599190283,659
"44",1,2010-03-12,2012-12-31,"国金证券股份有限公司",2.236,"rptDate=20121231",2.62,"陈建刚",0.146564885496183,1025
"45",1,2010-08-24,2010-12-31,"国金证券股份有限公司",2.88,"rptDate=20101231",1.91,"陈建刚",0.507853403141361,129
"46",1,2010-08-24,2011-12-31,"国金证券股份有限公司",3.54,"rptDate=20111231",2.47,"陈建刚",0.433198380566802,494
"47",1,2010-08-24,2012-12-31,"国金证券股份有限公司",4.27,"rptDate=20121231",2.62,"陈建刚",0.629770992366412,860
"48",1,2011-02-25,2012-12-31,"国金证券股份有限公司",2.61,"rptDate=20121231",2.62,"陈建刚",0.00381679389312986,675
"49",1,2011-02-25,2011-12-31,"国金证券股份有限公司",2.16,"rptDate=20111231",2.47,"陈建刚",0.125506072874494,309
"50",1,2012-01-19,2011-12-31,"国金证券股份有限公司",3.09,"rptDate=20111231",2.47,"陈建刚",0.251012145748988,-19
"51",1,2012-01-19,2012-12-31,"国金证券股份有限公司",3.57,"rptDate=20121231",2.62,"陈建刚",0.362595419847328,347
"52",1,2012-08-15,2012-12-31,"国金证券股份有限公司",1.933,"rptDate=20121231",2.62,"陈建刚",0.262213740458015,138
"53",1,2012-08-15,2013-12-31,"国金证券股份有限公司",2.136,"rptDate=20131231",1.86,"陈建刚",0.148387096774194,503
"54",1,2012-10-25,2012-12-31,"国金证券股份有限公司",1.93,"rptDate=20121231",2.62,"陈建刚",0.263358778625954,67
"55",1,2012-10-25,2013-12-31,"国金证券股份有限公司",2.1,"rptDate=20131231",1.86,"陈建刚",0.129032258064516,432
"56",1,2013-04-23,2013-12-31,"国金证券股份有限公司",1.534,"rptDate=20131231",1.86,"陈建刚",0.175268817204301,252
"57",1,2013-04-23,2014-12-31,"国金证券股份有限公司",1.866,"rptDate=20141231",1.73,"陈建刚",0.0786127167630059,617
"58",1,2007-10-23,2007-12-31,"长城证券有限责任公司",1.19,"rptDate=20071231",1.27,"陈瑾",0.062992125984252,69
"59",1,2007-10-23,2008-12-31,"长城证券有限责任公司",1.62,"rptDate=20081231",0.2,"陈瑾",7.1,435
