H_wage,Female,Black,Edu,Exp,Married
5,1,1,12,17,0
17.3,0,0,14,14,1
10.5,0,0,10,16,0
7,1,0,12,21,0
11.75,0,0,12,19,1
7.5,1,0,12,25,1
9.92,0,0,12,38,1
21.3333,0,0,12,16,1
12.5,0,0,16,7,0
10,1,0,13,9,1
16.52,0,0,12,20,1
17,0,0,12,15,0
8.25,0,0,12,13,1
4,0,0,11,21,0
16,0,0,12,13,1
3.5,1,1,7,24,0
7.5,0,0,12,9,1
18,1,0,16,21,1
25,0,0,16,29,1
6.75,1,0,14,17,1
7,1,1,12,22,1
22.973,0,0,16,21,1
11,1,0,12,31,1
10.7,0,0,12,13,1
18.75,0,0,16,17,1
12,1,0,12,22,1
7.5,1,1,12,24,1
2.68,1,0,12,22,1
17.9167,1,0,18,15,0
28,1,0,16,10,1
15,0,0,9,42,1
4,1,0,6,32,0
29.1892,0,0,12,23,1
11,1,0,12,21,1
40,0,0,16,19,1
27.027,0,0,16,22,1
12.2,0,0,13,16,0
19.1429,1,0,12,33,1
14.8571,1,0,16,31,1
7,1,0,13,17,1
10,0,0,9,13,1
5.85,1,0,12,10,1
5.25,1,0,13,8,0
8,0,0,16,12,1
9.42,0,0,12,27,1
13.89,1,0,16,11,1
12.7,1,0,12,11,1
18.13,0,0,12,27,1
9.125,0,0,14,18,1
7.5,1,0,12,26,1
13,0,0,16,21,1
7.25,1,0,12,17,1
5.05,1,0,12,9,0
15.45,0,0,14,13,0
13.375,0,0,12,12,1
8.5,0,0,12,8,1
10.575,0,1,18,16,1
9.125,1,0,16,19,1
4,0,0,12,12,1
6.5,1,0,12,36,1
10.65,0,0,12,38,0
8.13,0,0,12,19,1
19.05,1,0,12,26,0
12.25,0,0,12,11,1
7.7,0,0,18,20,1
11.475,1,0,11,22,1
15.1316,1,0,12,11,0
30,1,1,13,18,0
12.625,1,0,14,14,1
9.52,1,0,12,14,1
25,0,0,16,23,1
4.5,1,0,16,19,1
15,1,0,16,17,0
15,1,0,18,11,0
5,1,0,16,27,1
6.5,1,0,12,36,1
4,1,0,11,27,1
13.6364,0,0,16,9,1
8.9,1,0,12,10,1
8,0,0,10,17,0
5.3,1,0,12,40,1
5,0,0,12,11,1
13.5,0,0,14,10,0
8,0,0,14,11,0
6.5,0,0,16,15,0
6,0,0,6,43,1
13.3333,0,0,18,31,1
21.25,0,0,16,11,0
15.0667,1,0,15,37,0
10,1,0,16,20,0
24.25,1,0,13,18,0
6.5,1,0,12,8,0
5,1,0,13,23,1
5.05,0,1,12,10,1
7.5,0,1,12,10,1
9,1,0,18,12,0
15,0,0,13,13,1
4.2,1,1,12,16,0
7,1,1,9,37,1
7.16,0,0,12,8,0
11.0526,1,0,14,13,1
10.45,1,0,14,28,1
17.3,0,0,16,27,1
10,1,0,16,10,1
5.5,0,0,12,14,1
11,1,0,12,16,1
16.6667,0,0,16,14,0
8.075,1,0,12,37,1
5.25,0,0,18,29,1
5.7143,1,0,16,27,1
6,0,0,13,9,0
12.85,0,0,12,21,1
8,1,0,12,34,1
20.16,0,0,12,25,1
7.5,0,0,11,9,1
19.2222,0,0,16,17,1
11.3,1,0,12,24,1
15,0,0,16,10,1
28.85,0,0,17,31,1
5,0,0,15,7,0
8.15,0,0,14,10,0
11.62,1,0,12,16,0
8.5714,1,1,16,17,1
7.1429,1,0,14,17,1
12,1,0,13,20,1
4,1,0,12,25,1
11.25,1,0,16,4,0
5.5556,0,0,12,8,1
10,1,0,12,11,0
9.56,0,0,15,12,1
12.7,1,0,13,30,1
7.5,0,1,18,13,0
5.625,0,0,12,11,1
16.6667,0,0,16,17,1
4,0,0,13,9,1
9.1667,0,0,12,29,1
13,0,0,16,30,1
5.65,1,0,12,12,0
16,0,0,13,35,1
15,0,0,12,18,0
7.5,0,0,12,35,1
7,1,0,9,33,1
16,0,0,14,13,0
5,1,0,13,8,0
12,1,0,16,12,1
10,0,0,18,16,1
7.7778,1,0,12,17,1
10.8333,0,0,13,23,1
13.625,0,0,16,8,1
13.3333,0,0,18,17,1
9,0,0,12,10,0
10.33,0,0,12,21,1
6.97,1,0,12,16,1
8.2429,0,0,18,5,0
5.01,1,0,12,33,0
22.5,0,0,16,20,1
8.2,0,0,14,15,1
8.25,0,0,16,12,1
17.5,1,0,12,24,1
10.06,0,0,11,14,0
13.93,1,0,14,13,1
11.5,0,0,14,8,1
7.99,1,0,13,13,1
10,0,0,12,17,1
10,1,0,14,12,1
13.375,0,0,15,10,1
6.3333,0,0,18,4,1
6.875,0,0,18,29,1
17.2222,1,0,17,15,1
11.68,1,0,12,10,0
8.13,1,0,12,8,1
5,1,0,12,35,1
20,0,0,17,31,1
4.6,1,0,10,26,0
23.9333,0,0,18,24,0
2.01,1,0,14,9,0
16.95,1,0,17,28,0
17.6471,0,0,12,10,0
24,0,0,15,28,0
18.75,1,0,18,8,0
7,0,0,12,9,0
27,0,0,18,33,1
4.5,0,0,12,16,1
10.6889,1,0,16,25,0
13,1,0,13,19,1
4.12,1,0,12,13,1
14.5,0,0,14,27,1
11.09,0,0,12,18,1
15.75,0,0,14,26,1
12.59,0,0,15,8,0
9.38,1,0,12,15,1
6.3,0,0,12,12,1
6.25,0,0,8,27,1
6.25,1,0,12,23,1
7.8947,1,0,14,11,0
13,0,0,16,20,1
13.75,1,0,14,15,0
7.5,1,0,12,37,1
8.7,1,0,17,4,1
9,1,0,14,39,0
10.25,1,0,15,23,1
12,1,0,14,10,1
9.8,0,0,12,26,1
7.5,1,0,12,33,1
25,0,0,16,10,1
8.75,1,0,18,5,1
5.75,1,0,8,22,0
11.25,0,0,10,20,1
11,0,0,12,25,0
23.425,0,0,16,19,0
8.0364,0,0,16,9,1
6.45,1,0,12,34,0
12.5,0,0,17,10,0
12.5,0,0,13,24,1
6,0,0,13,9,0
14.375,0,0,12,18,1
11,0,0,10,36,1
16,0,0,18,33,1
12,0,0,12,33,1
3.75,1,0,8,34,0
10,0,0,10,16,1
8.75,1,0,12,21,1
8.9444,1,0,12,31,0
5.75,1,0,10,16,1
7.5,0,0,12,38,1
5.35,1,0,12,30,1
13.2,1,0,12,24,1
15,1,0,18,8,1
19.25,0,1,12,17,0
18.9,0,0,16,6,0
11.1,1,0,12,9,1
16.8,1,0,13,13,1
13.825,1,0,12,26,1
6.6667,0,0,16,8,0
5,1,0,12,11,0
9.875,1,0,12,22,1
10,1,0,12,29,1
15.42,0,0,12,18,1
9.5,0,0,18,31,0
17,0,0,12,29,0
15.75,1,0,15,30,1
15.35,0,0,14,10,1
8.75,1,0,13,24,1
9.78,0,0,12,29,1
10.4,0,0,18,14,1
23,0,0,12,23,1
5,1,1,12,33,0
12.03,0,0,13,27,1
19,0,0,14,12,1
7,1,0,3,46,0
4.1667,0,0,9,24,1
25,1,0,12,13,0
13.9,0,0,12,16,1
21.04,0,0,12,31,1
6.7,1,0,16,14,1
5,1,0,17,31,1
4.5526,0,0,14,37,1
5,1,0,12,18,1
6,1,0,13,9,1
15,0,0,16,28,1
19.8,0,0,17,19,1
6.8,1,0,14,8,1
13.8,0,0,8,15,0
30.9091,0,0,16,10,1
5,1,0,13,20,1
9,0,0,12,16,1
4.24,0,0,12,20,1
5.5,1,0,11,24,1
10.36,0,0,12,14,1
16.25,1,0,18,12,1
25,0,0,18,25,1
19.2,0,0,12,12,1
7.25,1,0,14,9,1
4,0,0,8,18,0
8.5,0,0,9,35,1
10,0,0,12,24,1
6.45,0,0,12,30,1
4.44,1,0,12,35,0
5.95,1,0,12,12,0
8.34,1,0,12,32,1
5.88,1,0,13,21,1
6,1,0,13,22,1
11.5,0,0,12,15,1
10,0,0,12,22,1
5.05,1,0,12,17,1
10.87,1,0,12,26,0
7.75,0,0,13,13,1
11.2105,1,0,14,18,0
8.5937,1,0,15,21,1
8,1,0,12,19,1
5.25,1,0,12,8,0
4,1,0,18,8,1
11.875,1,0,12,25,1
6.25,1,0,14,34,1
10.82,0,0,12,21,1
20,0,0,16,18,1
6.67,0,0,3,20,0
5.15,1,0,3,25,0
11.525,1,0,17,4,0
10,1,0,14,11,1
38.46,0,0,18,18,0
5.9667,1,0,12,8,0
6,1,0,12,12,0
8,1,1,10,16,0
4.5,1,1,12,12,0
9.12,0,1,13,9,0
15,1,0,18,6,0
5,1,1,12,30,1
12.5,0,1,18,5,0
22.2222,0,0,16,4,1
13,0,1,13,18,0
11.1111,0,0,18,11,0
7.5,1,1,17,30,1
6.43,1,0,12,11,1
14.45,0,0,13,29,1
13.5,1,0,14,20,0
7,1,1,12,12,1
16,0,0,12,31,1
11.25,1,0,12,28,1
14,1,1,14,16,0
6,1,0,16,22,0
17.5,1,0,12,41,0
15,0,0,14,27,1
16.825,0,0,14,12,1
14,0,0,12,25,1
10.3,0,0,12,11,1
14,0,0,12,33,1
13.08,0,0,16,17,1
12.5,0,0,16,6,0
23.55,0,0,16,26,1
18.55,1,0,18,21,0
6.43,1,0,12,20,1
3.95,1,0,12,16,1
11,0,0,12,38,1
4.25,1,0,13,21,1
2.1429,0,0,5,23,0
21.25,0,0,14,19,1
7.5,0,0,12,28,1
6,1,0,16,15,1
9.42,1,0,16,11,0
14.7,0,0,15,23,1
19,0,0,12,31,1
6.25,0,0,13,14,1
28,0,0,15,10,1
15.5,0,0,12,8,1
17,0,0,14,8,0
14.95,1,0,14,22,0
4.25,1,0,12,17,0
9.36,1,0,12,12,0
13,1,0,13,11,0
11.26,0,0,12,15,1
6.1,0,0,4,19,1
22.5,1,1,16,25,0
8.5,1,0,13,27,0
6,1,0,12,24,0
22.45,0,0,16,10,1
11.875,0,0,17,12,1
12.5,1,0,15,38,1
4.8,1,0,0,51,0
18,0,0,14,13,1
17.5,0,1,14,20,1
21.25,0,0,12,14,0
19.75,1,0,13,14,1
4.35,0,0,8,33,0
5.5,0,0,5,23,1
22,0,0,1,23,0
12.05,0,0,12,24,0
20,0,0,11,13,1
16,0,0,16,12,0
7.5,1,0,12,12,0
10,1,0,13,18,1
7.5,0,0,12,9,0
18.1818,0,0,14,13,0
9,0,0,12,35,1
10.57,1,0,12,36,0
25,0,0,14,13,1
23.16,0,0,12,16,1
20,1,0,18,27,1
24.9,0,0,8,22,1
20.75,0,0,16,17,1
14.4444,0,0,16,34,1
15,1,0,16,10,1
11.1111,0,0,12,11,0
15,0,0,12,36,1
14.25,0,0,15,7,1
18.35,0,1,16,13,1
8,1,0,12,30,1
14.68,0,0,12,25,1
4,1,0,12,36,1
10.76,1,0,16,9,1
25,0,0,18,10,0
10,1,0,12,23,0
7.1429,0,0,12,19,0
8.28,0,0,3,30,1
19,0,0,15,24,0
27.7,1,0,18,10,0
12,1,0,15,17,1
31.25,1,0,17,13,0
25,0,0,16,29,1
7,0,0,16,8,0
23.625,0,0,13,35,1
21.5,0,0,0,40,1
5.7368,1,0,12,35,1
9.08,0,0,17,27,0
13.5,0,0,13,14,0
25,0,0,16,25,1
4.25,0,0,2,21,0
2.5,1,0,6,41,0
15,0,0,12,21,1
12.5,1,1,12,38,0
13,0,0,14,9,1
8,1,0,15,23,0
6,1,0,10,22,1
7.5,0,0,13,16,1
5.75,1,0,13,13,1
17.5,0,0,17,7,0
7,1,0,14,30,1
36.25,1,0,16,16,1
5,0,0,12,17,1
12.5,0,0,12,11,1
7.675,1,0,12,28,1
6.92,1,0,12,15,0
21.25,0,0,13,21,1
20.38,1,0,16,23,0
7.1429,1,0,13,16,1
4.95,1,0,11,25,0
15,0,0,15,18,1
7.5,1,1,16,30,0
30,0,0,16,11,1
15,0,0,10,33,1
14.2857,1,0,16,4,0
10,1,0,18,26,0
4.5,0,1,12,20,0
18.75,0,0,12,24,1
10.4,0,0,9,34,1
11.55,1,1,12,27,0
15.45,0,0,10,41,1
17,0,0,14,14,1
13.125,0,0,12,23,0
14,1,0,12,16,0
6.875,0,1,13,9,0
5.5,0,1,12,17,1
23.75,0,0,16,20,1
10,1,0,12,22,0
31.25,1,0,18,15,1
15,0,1,12,37,1
8,1,0,12,8,0
10,0,0,15,26,1
16.65,0,0,18,13,1
3.3333,1,1,9,16,0
20,0,1,12,11,1
7.5,0,0,12,28,1
25,0,0,16,20,0
6.25,1,0,12,18,0
20,0,0,14,19,1
15,0,0,12,35,0
15,1,0,16,20,1
10,0,0,15,7,0
48.075,0,0,18,10,0
8,1,1,11,26,0
7.5,0,0,12,32,0
11.5,1,0,14,31,1
31.6667,1,0,17,17,0
16.6667,1,1,18,25,0
8,1,0,12,23,1
9,1,1,14,6,1
22.5,0,0,12,29,0
12,0,0,12,9,1
13.75,1,0,14,6,1
24.05,0,0,9,42,1
8,0,0,12,13,1
20,1,0,16,10,1
8.75,0,0,12,17,1
17.5,1,0,18,26,1
5,1,0,12,21,1
12.5,0,0,13,10,1
13,0,0,12,40,1
9.5,1,0,16,8,0
15,0,0,12,14,1
8.8889,0,0,14,6,1
9,1,0,12,21,1
16,0,0,12,15,1
9,0,0,12,23,0
19,0,0,16,18,1
16.6667,1,0,18,12,1
12.7273,1,0,16,6,0
9.12,1,0,16,19,1
12,0,0,12,19,1
6.98,1,0,16,17,1
25,0,0,18,24,1
7.5,0,0,12,41,1
11,1,1,14,9,0
13.3333,0,0,15,15,1
7.2222,1,0,14,8,1
24,0,0,16,29,1
15.25,1,0,17,15,1
8.75,1,0,12,34,1
23.06,0,0,16,18,1
6,0,0,13,12,1
11,1,0,12,21,1
8,1,0,12,29,0
15,0,0,18,14,1
4,1,0,10,13,0
12.8222,0,0,15,22,1
20,0,0,14,10,1
7.9167,0,0,9,17,1
8.25,0,0,12,26,1
13.5714,0,0,16,4,1
16.05,0,0,12,19,1
13,1,1,9,20,0
7.5,1,0,13,35,1
9.5,1,0,13,29,0
11.78,1,1,12,34,0
10,0,1,12,20,1
15,0,0,12,26,1
15.2,0,0,16,14,1
8.91,0,0,8,34,1
3.8,1,1,10,39,1
7.25,1,0,13,11,1
16.3,0,0,12,26,1
7.75,0,0,12,10,1
11.625,0,0,14,15,0
7.5,1,0,16,14,1
5.1,1,0,12,14,1
8.08,1,0,12,16,0
12.5,0,0,13,35,1
8,1,1,12,23,0
7.5,1,0,16,21,1
10.6,0,0,15,30,1
7.7,1,0,17,16,1
9,1,0,12,33,1
8,1,1,12,32,1
16.25,0,0,12,19,0
14,0,0,12,30,1
3.5,1,0,8,17,1
12.5,0,0,12,38,1
16.74,1,1,16,11,1
6.6667,0,0,18,3,1
13.9773,1,0,12,34,1
23.0769,0,0,13,32,1
4.2929,0,0,12,40,1
46.35,0,0,18,13,0
8.75,1,0,12,38,1
22.75,1,0,16,8,1
11,0,1,16,6,1
18.25,1,0,17,13,0
11.25,0,1,16,13,1
16.875,0,0,16,6,1
19.95,0,0,18,19,1
13.85,0,0,13,32,1
4.8,0,0,2,37,1
6.5,1,0,14,6,1
5.5,1,0,14,6,0
7,1,0,12,18,1
7.12,0,0,12,18,0
17.5,1,0,12,32,0
14.2222,0,0,18,35,0
8.1818,0,0,16,5,1
13.75,1,0,17,18,1
2.6316,0,0,10,13,0
5.57,1,0,8,12,1
7.86,0,0,12,15,1
5.9091,0,0,18,28,1
26,1,0,16,12,1
2.6667,0,0,12,21,0
7.35,1,0,12,15,1
12.4,0,0,12,31,1
12,0,0,12,34,1
13.6744,1,0,18,17,1
14.9,0,0,12,20,0
13.51,1,0,14,9,0
6.25,1,0,12,29,1
10.25,1,0,14,26,1
12.5,1,0,16,7,1
15.85,1,0,12,28,0
12,1,1,14,11,1
8,0,0,12,22,1
10.5,1,0,14,11,1
18.75,0,0,16,19,1
10.5,0,0,12,21,1
11.25,1,0,14,16,1
6,0,0,12,9,0
15.375,0,1,17,16,1
15,0,0,11,32,1
10,0,0,12,31,1
6.875,0,1,12,15,1
12.8222,1,0,12,27,1
20,1,0,16,16,1
4.4444,1,0,12,16,1
4.5,1,0,12,20,0
10.21,0,0,12,21,1
6,1,0,14,20,0
6,1,0,12,13,1
4.75,1,0,12,26,1
17.3,0,0,18,23,0
7.25,1,0,12,15,0
7.1,0,0,7,36,1
11,0,0,12,33,1
6.6667,1,0,12,27,1
12,0,0,12,11,1
21.25,0,0,12,40,1
12,0,0,12,35,1
4.5,1,0,12,10,1
10.5,1,0,16,6,0
12,0,0,12,40,1
18,1,0,18,29,1
15,1,0,13,35,1
16.02,1,0,12,18,1
6.3,1,0,12,29,0
13,0,0,12,20,1
9.125,1,0,16,11,1
10,0,0,11,30,1
12.65,1,0,17,12,1
9,0,0,6,18,0
10,0,1,12,22,1
13.36,0,0,12,10,1
26.45,0,0,15,27,1
10,1,0,18,3,0
12,1,0,12,24,1
4.05,1,0,3,42,1
13.125,0,1,12,10,1
26.425,0,0,12,35,1
4.5,0,0,1,46,0
22.2222,1,0,18,26,0
7,0,0,18,20,1
19.9,0,0,16,4,0
22.5,0,0,12,21,1
13,1,0,16,12,1
8.5,1,0,12,40,1
13.84,1,0,13,23,1
17.5,1,0,18,22,1
6,1,0,12,19,1
4,1,0,8,14,0
15.625,0,0,12,14,0
8,1,0,14,9,1
20,1,0,12,25,0
6.66,0,0,6,20,1
18,0,1,12,23,0
10.74,0,0,8,35,0
10.325,1,1,18,17,0
4,0,1,12,11,0
13.75,0,0,15,14,1
7.625,1,1,12,32,1
6,1,1,12,9,0
8,0,0,4,28,1
12.5,1,0,16,18,0
20,0,1,12,25,0
15,1,0,16,4,0
23.4043,1,0,18,14,1
11.11,1,0,12,29,1
17,1,0,16,8,1
8.75,0,0,12,9,0
14,0,0,13,25,1
5.35,1,0,12,9,1
17.25,0,0,14,10,1
5,1,0,12,25,0
10,0,0,16,6,1
8.5,1,0,12,12,1
20,0,0,14,24,1
8,1,0,12,19,1
14,0,0,12,37,1
4,1,0,16,4,1
10.625,1,0,12,10,1
11.71,1,0,14,22,1
9.375,0,0,17,4,0
6.25,1,0,12,16,1
9,0,0,13,13,0
6.2857,1,0,10,31,1
14,0,0,12,11,1
5,1,0,16,31,1
15,1,0,12,31,0
8,0,0,14,11,0
7.5,1,0,10,24,1
14.12,1,0,13,17,1
11.5,0,0,12,17,1
12.5,1,0,15,8,1
3.8,1,0,11,9,0
11.1,0,0,12,37,1
11,0,0,12,26,0
17.55,0,0,17,14,1
17,1,0,14,23,1
18.125,0,1,13,27,1
12.5,1,0,12,23,1
6.25,1,1,10,30,0
6.25,1,0,12,13,1
10.3,1,0,16,7,1
12.5,1,0,17,15,0
6.45,1,0,9,16,0
7,0,0,12,9,1
11.25,1,0,18,5,0
23.075,0,0,16,11,1
4,1,0,10,24,0
7.98,1,0,12,11,1
6.82,0,0,13,9,0
6,1,0,12,22,1
22.5,0,0,18,27,1
16.875,0,0,12,18,1
11.5,1,0,14,23,1
3.5,0,0,14,6,1
11.5,0,0,12,22,1
11.75,0,0,12,34,0
15.46,0,0,12,20,1
13.79,0,0,12,16,1
2.7,1,0,12,12,1
10,1,0,12,23,1
14,1,1,14,13,0
8.75,1,0,12,21,1
17.4,0,0,18,8,1
7.56,1,0,14,16,1
25,0,0,16,17,1
8.54,1,0,16,17,1
7,1,0,12,12,1
4,0,0,15,8,0
6,0,0,11,34,1
8,0,0,12,17,1
10.45,0,0,12,12,1
9.75,1,0,16,9,1
9.3,1,0,12,34,1
9,0,0,12,37,0
8,0,0,16,11,0
14.375,0,0,13,12,1
4.75,0,0,12,14,1
8.5,1,0,14,25,0
5,1,0,13,22,1
4,1,0,14,33,1
5,0,0,12,34,0
5.9077,0,0,12,18,1
14,1,0,16,23,1
5,1,0,12,11,1
12.5,0,1,12,12,1
4,0,0,12,11,1
21.625,0,0,16,32,1
4.1667,0,0,12,8,0
10,0,0,6,42,1
19.22,1,0,16,34,0
14,1,0,16,11,1
10,1,0,16,21,0
4.75,1,0,12,18,1
11,0,0,12,12,0
21.25,0,1,16,24,1
8.25,0,0,12,9,1
6,1,0,15,5,0
8,1,0,12,11,1
4.85,1,0,12,10,0
11.5,0,1,14,19,1
15,0,0,12,20,1
20.3125,0,0,14,20,1
6.5,1,0,12,14,1
7,0,0,0,47,0
6.15,0,1,13,15,1
25.6444,0,0,17,24,1
7.2,0,0,12,11,1
3.8,0,0,12,15,0
8.0808,0,0,12,22,1
7.41,1,1,12,11,1
9.5,0,0,14,13,0
20.8,0,0,12,28,0
6,0,1,12,10,1
10,0,0,12,22,0
12.5,1,0,15,13,0
6.25,1,1,10,35,0
6.35,0,0,12,8,1
6,1,0,14,19,1
12,0,0,16,28,1
7,1,0,17,14,1
15,0,0,16,26,1
6,0,0,12,17,1
11,0,0,12,14,1
15,1,0,16,27,0
9.31,1,0,12,24,1
1.5385,0,0,12,15,1
6.52,1,0,12,31,1
10.9,0,0,5,40,1
8,1,1,14,16,0
5,1,0,12,36,1
4.75,0,0,12,9,0
10,0,0,16,4,0
12,0,0,9,37,1
14.2857,1,0,18,21,0
7.5,0,1,11,26,1
9.73,0,0,12,16,0
18.75,0,0,14,14,1
22.6415,0,0,18,7,1
5.5,1,0,12,23,1
8,1,0,7,46,1
6.875,1,0,14,15,1
11.5,1,0,17,7,1
14.9057,0,0,14,12,1
7.2222,1,0,16,6,0
6,1,0,12,28,1
5.1,0,0,10,10,0
17.5,1,0,16,27,1
34.34,0,0,18,11,1
21.625,0,0,13,33,1
4.5,0,0,12,16,0
25,0,0,12,34,1
10,0,0,7,41,1
2.63,1,0,14,18,0
13.52,0,1,11,31,0
12.48,0,0,12,15,1
6.25,0,0,12,23,1
15,0,0,11,17,1
10.275,1,0,12,13,1
10,1,1,16,20,1
38.46,0,0,18,14,1
8,0,0,12,20,1
6,0,0,10,38,1
28.85,0,0,16,22,1
12.29,1,1,12,23,0
11.1111,0,0,14,15,1
21.4667,0,0,16,18,1
4.25,1,0,12,39,1
18,1,0,17,35,1
10.49,1,1,14,15,0
2.51,0,0,12,14,1
15,0,0,16,4,1
10,0,0,16,11,1
5,0,0,12,18,0
16.98,0,0,14,37,1
7.7778,0,1,12,36,1
8,0,0,12,9,1
7.4,1,0,12,9,1
7.5,0,0,12,10,0
16,1,0,18,2,0
4.25,1,0,13,18,0
23,0,0,12,16,1
9,1,0,12,20,1
11.25,1,0,16,20,1
9,0,1,12,34,1
5.375,1,1,12,13,1
8.36,0,0,18,10,0
17.5,0,0,16,6,0
6.2,0,1,14,11,1
13.5526,1,1,14,14,0
5,1,1,12,14,0
14.25,0,0,14,12,1
15,0,0,14,6,0
12.49,0,0,9,24,0
12.5,0,1,12,14,0
17.5,0,0,16,11,1
11.4,0,0,8,41,1
20,1,0,16,32,1
18.6364,0,0,14,22,1
15,0,0,18,11,1
9.375,1,0,16,10,1
8.25,1,0,12,36,1
15,0,0,13,34,1
26.425,0,0,13,31,1
5.9091,0,0,16,36,1
8,1,0,16,12,1
24.025,0,0,16,25,0
23.75,1,0,16,36,0
48.075,0,0,18,18,0
24,0,0,18,27,1
9,1,0,13,18,0
13.45,1,1,12,22,0
9.86,1,0,5,30,1
6.6667,1,0,16,17,0
15.42,0,0,12,22,1
20,1,0,17,11,1
20,1,0,12,25,0
5,1,0,12,30,0
30,0,0,18,12,1
7.95,1,1,12,20,0
25,0,0,18,4,0
6.6667,0,0,16,26,0
17.5,0,0,16,16,1
6.25,1,0,12,26,1
14.5,0,0,12,11,1
10,0,0,18,20,1
9.6,1,1,12,26,1
7.4286,1,0,12,13,1
23.8,0,0,16,26,1
16.6667,0,0,16,17,1
14,0,0,12,20,1
9.475,0,0,12,33,1
17.5,0,0,12,32,0
11.1111,0,0,14,34,1
5.8,0,0,5,16,1
4,1,1,12,19,0
5,0,1,11,27,0
7,1,0,12,36,1
7.15,0,0,11,35,0
5.5,1,0,18,33,0
8.35,0,0,10,13,1
7,0,0,13,21,1
5.07,1,0,12,34,1
15.9,0,1,12,28,0
3.74,1,0,12,37,0
4.5,1,1,12,16,0
6.35,1,0,12,24,1
2.5,1,0,10,42,0
5,0,1,14,22,1
4.74,1,1,12,23,1
10.575,1,0,18,2,1
16,0,0,18,14,1
12.65,0,0,12,12,1
30,0,0,17,19,1
11.9474,0,0,13,22,1
25,0,0,16,13,0
7.25,0,0,12,41,1
6.9,1,0,15,6,1
7.75,1,0,12,8,0
8.5,1,0,13,26,1
16,0,0,12,12,1
7,0,0,14,22,1
8.56,1,0,8,36,1
5.5,0,0,11,17,1
10,1,0,14,8,1
11.25,0,1,16,7,0
6.5,1,0,11,28,1
22.2222,0,0,14,15,1
6.75,0,0,12,34,1
13,1,0,14,23,0
8.8889,1,0,14,10,1
3.8,0,0,16,10,1
9.4444,0,0,16,8,1
17.5,0,0,14,38,1
14,1,0,16,14,1
11,0,0,12,14,1
12,0,0,12,11,1
6.3333,1,0,16,12,1
16,0,0,14,9,0
6.77,1,0,11,12,0
8.46,1,0,13,33,0
22.5,1,0,12,19,1
17.5,0,0,18,34,1
21.3333,0,0,18,21,1
11,0,0,13,23,1
20,1,0,18,25,0
17.5714,1,0,16,34,1
12,0,0,13,17,1
25,0,0,16,27,1
10.4762,1,0,13,19,0
15.375,0,0,16,32,1
11.9,0,0,16,5,1
25,0,0,18,21,1
9.07,1,0,14,34,0
17.2727,0,0,12,32,1
13.375,0,0,16,6,0
16.1702,1,0,16,5,0
10,1,0,14,22,1
5.275,1,0,12,38,0
14.1,1,0,16,4,0
9.38,1,0,12,29,1
6,0,0,7,13,1
27.7778,0,0,16,14,1
10.36,0,0,10,36,1
8.8,1,0,14,18,1
21.6667,1,0,17,13,1
21.54,0,0,18,9,1
16.6,1,0,14,16,1
12,0,0,10,20,0
12.5,1,0,18,6,1
16.67,0,0,12,28,1
9.54,0,0,12,34,1
9.05,1,0,12,19,1
19.1143,0,0,18,27,1
7.5,1,0,0,47,1
7,0,0,10,29,1
6.25,1,0,12,19,1
13,1,0,12,25,1
34.2105,0,0,16,16,1
7.75,1,0,12,9,0
9.46,1,0,12,13,1
18,0,0,12,28,1
18.35,1,0,15,37,0
10,0,0,12,20,0
12.8222,0,0,18,29,1
7.5,0,0,11,36,1
6,0,0,12,24,1
16.2222,0,0,13,15,0
15,0,0,12,24,1
13.6364,1,0,16,23,0
11.72,1,0,12,22,1
15.7895,0,0,16,13,0
27.7778,0,0,14,19,1
16.9,1,0,12,27,0
3.75,1,0,8,15,1
16,0,0,12,13,1
6.7,0,0,12,39,1
11.25,0,0,12,35,1
13.7,0,0,12,23,1
11.6316,1,1,16,15,0
35,0,0,17,17,1
6.86,1,0,12,16,0
15,0,1,16,24,1
5,1,0,12,21,1
4,1,1,12,35,1
4,1,1,14,19,0
12.5,1,1,13,9,1
6.5625,1,0,8,45,1
21.25,0,0,14,26,1
7.125,0,1,12,17,1
15.32,0,0,14,21,1
10,1,0,12,28,1
4.5,1,0,12,18,1
6.5,0,0,17,9,1
10.5,1,1,12,8,0
21.6,0,0,18,12,0
10.8333,1,0,12,28,0
6,1,0,12,18,1
30,0,0,16,15,1
7.75,1,0,15,22,1
8.1818,0,0,13,18,1
18.3333,0,0,14,19,1
8,1,0,18,11,1
17.3,0,0,15,16,1
6.69,1,0,13,27,1
5.45,1,1,10,30,0
11.25,1,1,18,25,1
5,1,1,12,15,1
6.62,0,1,12,15,0
7.2,0,0,12,12,0
9,0,1,12,26,1
25,0,0,18,28,0
11.5,0,0,13,8,1
6.75,1,0,12,17,0
8.0889,1,0,16,14,1
12,0,0,12,32,1
12,1,0,16,18,0
8,0,1,12,27,1
4.4444,1,0,10,19,1
25,0,0,12,28,1
7,1,0,12,8,1
7,1,0,12,35,0
7.85,1,0,12,13,0
9.0909,0,0,18,12,0
6.88,1,0,11,17,0
5.25,1,0,12,11,1
8,0,0,16,23,1
11.6,0,0,12,22,1
4.82,1,0,12,39,1
7.2,1,0,12,38,1
9.49,0,0,10,17,0
22.5,1,0,18,15,0
14.25,0,0,17,5,1
10,0,0,13,17,1
9,1,0,14,13,1
15.7895,0,0,12,19,1
8.8,1,0,12,11,1
