H_wage,Female,Black,Edu,Exp,Married
5.7,1,0,12,41,1
11.75,0,0,12,16,1
5.65,1,0,12,30,1
7.65,1,0,13,8,0
21.8182,0,0,18,7,1
9,1,0,12,23,1
13.75,0,0,12,29,1
7.4667,1,0,12,27,1
13,0,0,11,25,1
10,1,0,16,6,1
5.8857,1,0,12,8,1
11.75,0,0,12,19,0
6.9,0,0,12,16,1
6.5,1,0,12,17,0
4.2105,1,0,12,21,0
13,1,0,12,38,1
6.45,1,0,12,37,1
6.88,1,0,11,21,1
12.5,0,0,12,30,1
15,1,1,12,26,1
14.33,0,0,12,30,1
6,0,0,3,48,0
7.8947,1,0,12,32,1
13,0,0,12,12,1
6.25,1,0,12,35,0
11.1111,0,0,13,16,1
10.5,1,0,16,16,1
11.25,0,0,9,15,0
22,0,0,18,19,1
16,0,0,18,12,0
11.6667,0,0,14,18,1
4.5,0,1,16,18,0
12,0,0,14,9,1
5,1,0,12,22,1
5.9455,1,0,12,24,1
11.46,1,0,16,9,0
20,0,0,12,40,1
17.3,1,0,16,29,0
8.55,1,0,12,36,1
11.2,0,0,12,14,1
10,1,0,12,29,1
8,1,0,14,37,1
10,0,0,16,22,1
7.23,1,0,9,27,1
9,0,0,6,17,0
16.25,1,0,18,24,0
5,0,0,12,12,1
20,0,0,10,39,1
7.36,1,0,12,24,0
16.6667,0,0,15,22,1
11,0,0,11,14,0
16.2273,0,0,16,22,1
6.61,1,0,12,24,0
6,0,1,12,13,1
9.25,1,0,12,24,1
6.6667,0,0,7,37,1
5,0,0,11,12,1
9.05,0,0,12,19,1
7.5,0,0,12,12,0
12.24,0,0,12,19,0
8.68,1,0,12,25,1
3.45,1,0,12,16,1
6,1,0,12,40,0
9.04,1,0,12,26,0
5.1,1,0,18,18,1
10,0,0,12,11,1
5.5,0,0,5,31,1
3.4,1,0,8,12,0
3.75,1,0,12,11,0
6.25,0,0,12,11,0
11.5385,0,0,18,22,1
12,0,0,13,31,0
8.75,0,0,16,10,0
12.5,1,1,14,21,1
8,0,1,16,11,0
4.75,1,1,11,18,0
6.6667,0,0,16,29,1
16.5,0,0,14,23,1
11.1111,0,0,18,4,1
10.9,1,1,13,33,0
11.97,1,0,11,35,1
11,0,1,16,7,0
3.5,1,1,12,19,1
13.5,0,0,11,31,1
10,1,1,12,41,1
15.4762,0,0,13,20,1
16,0,0,16,15,0
5.5,1,0,12,21,1
9.61,0,0,12,10,1
17.8572,0,0,16,24,0
11,1,0,16,15,1
4.25,0,1,13,13,0
9,1,0,12,24,1
8.55,1,0,12,34,1
12.5,1,0,12,38,0
11.4286,1,0,16,5,0
7.5,1,0,12,25,1
7.6667,1,0,17,20,1
5,0,0,12,20,0
11,1,0,18,8,1
15,0,0,18,4,1
4.25,1,0,12,16,1
12,0,0,12,12,0
14.5,0,0,16,25,1
8.65,1,0,14,14,1
19,0,0,8,41,1
14.7,0,0,12,16,0
11.95,0,0,12,16,1
15,0,0,18,18,1
4.25,1,0,12,13,0
4.23,1,0,12,25,1
8,0,0,12,30,1
4.45,1,0,12,18,1
15.3846,0,0,16,19,1
1.5,0,0,0,42,0
24.075,1,0,18,19,0
29.6875,1,0,12,40,1
6.875,1,0,12,10,1
10,1,0,18,4,0
8,0,0,13,12,0
5.9091,1,0,12,23,1
10.86,1,0,16,26,1
6.25,1,0,14,14,1
5,0,0,12,8,0
7.25,1,0,16,26,1
12.97,0,0,11,41,1
6.25,1,0,12,32,1
4.25,1,0,8,33,1
9.625,1,0,15,29,1
7.5,1,0,12,11,1
11.5,1,0,13,12,1
12.37,1,0,14,15,0
5.4545,0,0,13,9,1
37.5,0,0,14,15,1
20,1,0,14,16,1
9.1111,0,0,12,28,1
8.5,0,0,12,8,1
11.25,0,0,12,23,1
10,1,0,15,15,0
5.5,1,0,11,22,1
7.85,0,0,10,20,1
9,1,0,16,4,0
14.5455,0,0,16,26,1
22.5,1,0,12,27,0
14,0,0,13,27,1
8.5,0,0,12,16,0
10.25,0,0,16,25,1
11.2167,0,0,12,15,1
13,0,0,16,4,0
11,0,0,8,33,1
10.8108,1,0,12,24,0
12.9286,0,0,14,13,0
7.5,0,0,14,7,1
12.7,0,0,12,34,1
3.5,1,0,12,9,1
6,0,1,12,13,0
17.4909,1,0,18,14,0
11.2167,0,0,16,15,0
6,0,0,8,19,0
20,1,1,18,14,0
5,0,0,7,26,1
7.5,0,0,5,43,1
15.36,1,0,12,18,1
8.5472,0,0,14,23,1
8.2,1,0,12,12,1
7.7,0,0,16,21,1
6.5,1,1,9,40,0
11,0,0,9,16,1
10.1,1,0,14,15,0
16.825,0,1,18,13,1
9.075,1,0,12,26,1
9.1667,0,0,14,31,1
5,1,0,16,37,1
7.5,0,0,13,21,1
10,0,0,12,13,1
7,1,0,12,8,1
8.0556,1,0,14,23,1
9,0,0,13,11,1
9.48,1,0,12,21,1
14.75,0,0,12,24,1
12.5,0,0,18,12,0
6,1,1,12,20,1
5.5,1,0,12,24,0
11.09,1,0,12,31,1
22.2222,1,1,18,11,1
6,1,1,12,9,0
15,0,1,12,20,1
6,0,1,12,19,1
7.5,1,0,13,13,0
8,1,0,12,10,1
14,0,0,13,15,1
17.5,1,1,13,15,1
10.94,0,0,11,9,1
9.89,0,0,11,14,0
8.35,1,0,9,35,1
13.5,0,0,14,17,0
15,1,0,16,14,1
12,0,0,11,26,1
16.25,0,0,18,3,0
11.4445,0,0,12,31,0
12.025,1,0,16,8,1
7.4,1,0,12,41,1
5,1,0,7,17,1
7.5,1,0,12,26,1
17.5,1,0,12,40,0
8.12,1,1,11,35,0
20,0,0,14,28,1
5.4,1,0,12,21,1
4.5,1,0,12,23,0
8,0,0,12,21,1
14.6667,1,0,13,19,1
22,1,0,14,18,1
18,0,0,17,22,1
15,0,0,14,6,0
20,0,1,16,24,1
6.5,1,0,12,23,1
7.8,1,0,12,16,0
12.14,0,0,12,13,1
9,1,0,14,10,1
11,1,0,12,22,1
8,0,0,12,17,0
9.375,1,0,13,23,0
10,0,0,12,14,1
20,0,0,16,36,1
16,0,0,18,19,1
25.6333,0,0,18,28,1
7.75,0,0,12,29,1
6.25,1,0,12,19,0
6.5,0,1,12,9,1
26.25,0,0,12,37,1
